Year,Food,Beverages And Tobacco,"Crude Materials, Inedible","Mineral Fuels, Lubricants, Etc.",Animal And Vegetable Oils And Fats,Chemicals,Manufactured Goods,Machinery & Transport Equipment,Miscellaneous Manufactured Articles,Miscellaneous Transactions And Commodities,Total Exports
1990,3453,95,11480,14915,5680,1304,6329,28430,7956,324,79967
1991,3652,169,11140,14654,6227,1667,7360,38866,10320,439,94492
1992,3762,192,11081,13413,6875,2123,8831,45411,11505,460,103652
1993,3975,185,10984,12468,7242,2639,11600,58797,12524,821,121234
1994,4479,211,11523,11335,10485,4083,13906,82200,14609,1087,153917
1995,4516,398,11992,12927,12634,5629,16340,101995,16132,2419,184981
1996,4723,577,10759,15883,11727,6256,18290,108930,17714,2166,197025
1997,5305,747,10102,17943,13000,7878,19871,123984,19326,2735,220890
1998,6194,925,9313,17660,21386,9962,23819,169702,24946,2656,286561
1999,6229,1046,9910,22480,18280,10353,24243,200072,26188,2758,321560
2000,6470,1215,10288,35903,12937,14278,25788,233379,29925,3088,373270
2001,6581,1308,7565,32288,12342,14318,24114,202828,29171,3767,334284
2002,7477,1295,8418,30645,17926,16669,24845,215292,30453,4410,357430
2003,8424,1492,10153,40232,24226,20550,27982,226078,33637,5112,397884
2004,10026,1643,12600,55817,26536,27081,37069,262488,41356,6636,481253
2005,10755,1711,14096,71886,24693,31112,39098,289567,45234,8083,536234
2006,11482,1930,16949,80653,27944,32929,47936,309343,49934,10141,589240
2007,13850,2204,16251,86987,39576,36167,52658,295906,51938,8762,604300
2008,17852,2431,17694,121652,56833,39486,59151,286099,55846,5969,663014
2009,15791,2477,13157,79508,43641,33263,49356,258628,52202,4494,552518
2010,18168,2815,19129,101958,54139,40618,56391,280416,61407,3781,638822
2011,20555,3136,25026,125752,73119,46211,65400,269763,64707,4193,697862
2012,20692,3726,20610,143388,63394,46102,63624,266685,68704,5717,702641
2013,22101,3884,19492,160348,49019,51761,67700,273676,67319,4693,719992
2014,25647,4079,17164,168624,50491,56575,67819,296735,73717,4566,765417
2015,27373,4604,21237,128408,47878,60684,75144,326074,84514,4031,779947
2016,30218,4906,22514,111163,50637,64669,70015,338785,89029,5028,786964
2017,31842,4422,28566,144013,56398,75088,82821,398809,104646,8322,934927
2018,31575,3571,25526,157269,47064,84859,92699,440245,112084,8694,1003587
2019,34094,3453,27036,143681,46796,84957,95841,433860,119268,6084,995070
2020,33780,2595,24751,112015,54980,74960,88473,444198,144650,3425,983827
2021,38695,2498,28920,154806,79147,107516,127469,521789,176055,4128,1241022
2022,44610,2757,31263,264758,100658,125677,138746,672352,162735,6453,1550009
2023,42346,2828,27160,217176,67876,97885,116528,597251,131074,7466,1307589
